"","lon","lat","lon.ind","lat.ind","ind","elev","airpr","year","abs","variable","value","absorp","fitcomp"
"58",-105.5625,40.6875,28,30,96,2419,75.44572077582,"1999",3,"fec",5.16950022591919,"wing absorptivity= 0.5","flight activity time (hr)"
"60",-105.3125,40.6875,30,30,98,1970,79.7917532721445,"1999",3,"fec",5.87089349219565,"wing absorptivity= 0.5","flight activity time (hr)"
"61",-105.1875,40.6875,31,30,99,1764,81.8523903556094,"1999",3,"fec",5.32703154523635,"wing absorptivity= 0.5","flight activity time (hr)"
"62",-105.0625,40.6875,32,30,100,1598,83.5440716753033,"1999",3,"fec",4.30859242448778,"wing absorptivity= 0.5","flight activity time (hr)"
"63",-104.9375,40.6875,33,30,101,1613,83.3900552657989,"1999",3,"fec",4.17178502346601,"wing absorptivity= 0.5","flight activity time (hr)"
"66",-108.5625,40.5625,4,29,106,2073,78.7773048530327,"1999",3,"fec",5.4738476849522,"wing absorptivity= 0.5","flight activity time (hr)"
"67",-108.4375,40.5625,5,29,107,1908,80.4074743728112,"1999",3,"fec",5.48223349530173,"wing absorptivity= 0.5","flight activity time (hr)"
"68",-108.3125,40.5625,6,29,108,1859,80.8968095921083,"1999",3,"fec",5.50140954036035,"wing absorptivity= 0.5","flight activity time (hr)"
"69",-108.1875,40.5625,7,29,109,1866,80.826757308675,"1999",3,"fec",5.48353171980632,"wing absorptivity= 0.5","flight activity time (hr)"
"70",-108.0625,40.5625,8,29,110,1878,80.7067819630226,"1999",3,"fec",4.94164184458173,"wing absorptivity= 0.5","flight activity time (hr)"
"71",-107.9375,40.5625,9,29,111,1936,80.128932165359,"1999",3,"fec",5.35141168770932,"wing absorptivity= 0.5","flight activity time (hr)"
"72",-107.8125,40.5625,10,29,112,1988,79.6137124810991,"1999",3,"fec",5.50426864791824,"wing absorptivity= 0.5","flight activity time (hr)"
"73",-107.6875,40.5625,11,29,113,2022,79.2782908939811,"1999",3,"fec",5.50903754173648,"wing absorptivity= 0.5","flight activity time (hr)"
"74",-107.5625,40.5625,12,29,114,1938,80.1090662305254,"1999",3,"fec",5.57283440067949,"wing absorptivity= 0.5","flight activity time (hr)"
"75",-107.4375,40.5625,13,29,115,1960,79.8908040436043,"1999",3,"fec",5.55226616412087,"wing absorptivity= 0.5","flight activity time (hr)"
"80",-106.8125,40.5625,18,29,120,2589,73.8511459196757,"1999",3,"fec",4.4338940387993,"wing absorptivity= 0.5","flight activity time (hr)"
"82",-106.5625,40.5625,20,29,122,2601,73.7396272740465,"1999",3,"fec",4.28712149093873,"wing absorptivity= 0.5","flight activity time (hr)"
"83",-106.4375,40.5625,21,29,123,2544,74.2705578128684,"1999",3,"fec",4.66967005724528,"wing absorptivity= 0.5","flight activity time (hr)"
"84",-106.3125,40.5625,22,29,124,2546,74.2518764229609,"1999",3,"fec",4.38284134633873,"wing absorptivity= 0.5","flight activity time (hr)"
"85",-106.1875,40.5625,23,29,125,2577,73.9628010905737,"1999",3,"fec",4.14724302748552,"wing absorptivity= 0.5","flight activity time (hr)"
