study,publication_year,species,genus,life_form,Strategy,m1i,sd1i,n1i,m2i,sd2i,n2i,fitness,level,treat,treatment,year,location,absolute_latitude,elevation(m),climate ,habitat,source
Hobbie,1999,Vaccinium_vitis-idaea,Vaccinium,shrub,perennial,30.28481013,1.758252454,7,43.21202532,2.386199758,7,fruits,plot,passive_warming,passive_warming,1990,Alaska,68.633333,760,arctic,tundra,Fig7
Hovenden,2008,Austrodanthonia_caespitosa,Austrodanthonia,graminoid,perennial,55.66452094,23.96959938,3,32.06902304,75.64363141,3,seeds,individual,CO2_+_warming,CO2_+_warming,2004,Australia,42.7,40,temperate,grassland,Fig1
Klanderud and Totland,2005,Thalictrum_alpinumm,Thalictrum,forb,annual,3.090565389,1.541320229,2,3.407458326,1.151494047,2,seeds,individual,passive_warming,passive_warming,2000,Norway,60.1166667,1500,alpine,meadow,Fig3c
Kudo,2003,Rhododendron_tomentosum,Ledum,shrub,perennial,0.930930931,1.029815507,6,0.960960961,0.882699006,6,flowers,individual,passive_warming,passive_warming,1994,Japan,43.55,1680,montane,fellfield,Fig2
Kudo,2003,Empetrum_nigrum,Empetrum,shrub,perennial,5.825825826,6.326009546,6,6.426426426,3.604354276,6,flowers,individual,passive_warming,passive_warming,1994,Japan,43.55,1680,montane,fellfield,Fig2
Kudo,2003,Vaccinium_vitis-idaea,Vaccinium,shrub,perennial,0.33033033,0.537193508,5,0.21021021,0.47004432,5,flowers,individual,passive_warming,passive_warming,1994,Japan,43.55,1680,montane,fellfield,Fig2
Kudo,2003,Vaccinium_uliginosum,Vaccinium,shrub,perennial,5.045045045,2.133189265,6,1.771771772,0.809140756,6,flowers,individual,passive_warming,passive_warming,1994,Japan,43.55,1680,montane,fellfield,Fig2
Kudo,2003,Arctous_alpinus,Arctous,shrub,perennial,2.132132132,1.501501502,4,0.24024024,0.36036036,4,flowers,individual,passive_warming,passive_warming,1994,Japan,43.55,1680,montane,fellfield,Fig2
Liancourt,2012,Festuca_lenensis,Festuca ,graminoid,perennial,19.12855059,4.754792987,15,43.9317442,29.68521761,15,flowers,individual,passive_warming,passive_warming,2009,China,51.0166667,1735,montane,mountain steppe,Fig2
Liancourt,2012,Poa_attenuata,Poa ,graminoid,perennial,82.65852142,96.8724203,15,45.0859435,61.81987357,15,flowers,individual,passive_warming,passive_warming,2009,China,51.0166667,1735,montane,mountain steppe,Fig2
